Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for linux-amd64 JRE (1.8.0_291-b10), built on Apr  7 2021 19:13:06 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 24260116k(23207660k free), swap 12255228k(12255228k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-08-18T16:33:27.800+0800: 295.398: [GC (Allocation Failure) [PSYoungGen: 112672K->896K(111104K)] 161143K->49527K(305664K), 0.0022185 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:33:39.581+0800: 307.179: [GC (Allocation Failure) [PSYoungGen: 110976K->512K(116736K)] 159607K->49247K(311296K), 0.0075869 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
2021-08-18T16:33:55.055+0800: 322.653: [GC (Allocation Failure) [PSYoungGen: 108544K->544K(107008K)] 157279K->49375K(301568K), 0.0023371 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:34:07.811+0800: 335.408: [GC (Allocation Failure) [PSYoungGen: 106528K->736K(112128K)] 155359K->49623K(306688K), 0.0022756 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:34:20.554+0800: 348.152: [GC (Allocation Failure) [PSYoungGen: 104672K->512K(102400K)] 153559K->49447K(296960K), 0.0074878 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-08-18T16:34:35.059+0800: 362.657: [GC (Allocation Failure) [PSYoungGen: 102400K->352K(106496K)] 151335K->49327K(301056K), 0.0023046 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-08-18T16:34:47.804+0800: 375.402: [GC (Allocation Failure) [PSYoungGen: 100192K->736K(99328K)] 149167K->49799K(293888K), 0.0022789 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:34:58.554+0800: 386.152: [GC (Allocation Failure) [PSYoungGen: 99040K->416K(103424K)] 148103K->49575K(297984K), 0.0076885 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2021-08-18T16:35:12.052+0800: 399.650: [GC (Allocation Failure) [PSYoungGen: 97184K->416K(95744K)] 146343K->49639K(290304K), 0.0066723 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
2021-08-18T16:35:25.056+0800: 412.653: [GC (Allocation Failure) [PSYoungGen: 95648K->416K(99328K)] 144871K->49703K(293888K), 0.0072651 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:35:37.788+0800: 425.386: [GC (Allocation Failure) [PSYoungGen: 94112K->384K(92672K)] 143399K->49719K(287232K), 0.0020839 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:35:47.815+0800: 435.412: [GC (Allocation Failure) [PSYoungGen: 92544K->736K(95744K)] 141879K->50103K(290304K), 0.0024594 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:35:58.057+0800: 445.655: [GC (Allocation Failure) [PSYoungGen: 91360K->448K(89600K)] 140727K->49879K(284160K), 0.0022727 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:36:10.053+0800: 457.650: [GC (Allocation Failure) [PSYoungGen: 89536K->416K(91648K)] 138967K->49903K(286208K), 0.0037072 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:36:22.054+0800: 469.651: [GC (Allocation Failure) [PSYoungGen: 87968K->416K(86528K)] 137455K->49943K(281088K), 0.0054447 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
2021-08-18T16:36:33.057+0800: 480.655: [GC (Allocation Failure) [PSYoungGen: 86432K->384K(88064K)] 135959K->49959K(282624K), 0.0023039 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:36:44.061+0800: 491.659: [GC (Allocation Failure) [PSYoungGen: 84864K->352K(83968K)] 134439K->49991K(278528K), 0.0019361 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:36:55.057+0800: 502.655: [GC (Allocation Failure) [PSYoungGen: 83808K->384K(86016K)] 133447K->50079K(280576K), 0.0020426 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:37:06.053+0800: 513.651: [GC (Allocation Failure) [PSYoungGen: 82816K->416K(81920K)] 132511K->50159K(276480K), 0.0021991 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:37:17.049+0800: 524.646: [GC (Allocation Failure) [PSYoungGen: 81824K->416K(83968K)] 131567K->50183K(278528K), 0.0079352 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2021-08-18T16:37:27.057+0800: 534.655: [GC (Allocation Failure) [PSYoungGen: 80800K->384K(79872K)] 130567K->50191K(274432K), 0.0024594 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:37:37.553+0800: 545.151: [GC (Allocation Failure) [PSYoungGen: 79744K->416K(82432K)] 129551K->50287K(276992K), 0.0073156 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:37:47.552+0800: 555.150: [GC (Allocation Failure) [PSYoungGen: 79264K->416K(82944K)] 129135K->50303K(277504K), 0.0079484 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-08-18T16:37:57.715+0800: 565.313: [GC (Allocation Failure) [PSYoungGen: 79264K->352K(83456K)] 129151K->50247K(278016K), 0.0025284 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:38:07.794+0800: 575.392: [GC (Allocation Failure) [PSYoungGen: 80224K->352K(83456K)] 130119K->50263K(278016K), 0.0029265 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:38:17.797+0800: 585.394: [GC (Allocation Failure) [PSYoungGen: 80224K->736K(83968K)] 130135K->50663K(278528K), 0.0020075 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:38:27.804+0800: 595.402: [GC (Allocation Failure) [PSYoungGen: 81120K->1184K(83456K)] 131047K->51143K(278016K), 0.0027129 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:38:37.803+0800: 605.401: [GC (Allocation Failure) [PSYoungGen: 81568K->1312K(83968K)] 131527K->51343K(278528K), 0.0026011 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:38:47.816+0800: 615.414: [GC (Allocation Failure) [PSYoungGen: 82208K->384K(83968K)] 132239K->50463K(278528K), 0.0023069 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:38:57.821+0800: 625.419: [GC (Allocation Failure) [PSYoungGen: 81280K->768K(84480K)] 131359K->50879K(279040K), 0.0027727 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
