OpenJDK 64-Bit Server VM (25.292-b10) for linux-amd64 JRE (1.8.0_292-b10), built on Apr 21 2021 14:24:48 by "mockbuild" with gcc 4.8.5 20150623 (Red Hat 4.8.5-44)
2021-08-18T16:29:52.998+0800: 4.564: [GC (Allocation Failure) [PSYoungGen: 85504K->3455K(92672K)] 117378K->37077K(197632K), 0.0038747 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2021-08-18T16:29:53.098+0800: 4.664: [GC (Allocation Failure) [PSYoungGen: 86399K->1792K(93184K)] 120021K->37054K(198144K), 0.0029860 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:53.222+0800: 4.788: [GC (Allocation Failure) [PSYoungGen: 84736K->1712K(94208K)] 119998K->37727K(199168K), 0.0026969 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:53.289+0800: 4.854: [GC (Metadata GC Threshold) [PSYoungGen: 48240K->1856K(86016K)] 84254K->38594K(190976K), 0.0031781 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:53.292+0800: 4.857: [Full GC (Metadata GC Threshold) [PSYoungGen: 1856K->0K(86016K)] [ParOldGen: 36738K->36259K(104960K)] 38594K->36259K(190976K), [Metaspace: 57075K->57075K(1101824K)], 0.1265824 secs] [Times: user=1.45 sys=0.00, real=0.12 secs] 
2021-08-18T16:29:53.605+0800: 5.171: [GC (Allocation Failure) [PSYoungGen: 83968K->1972K(93696K)] 120227K->38240K(198656K), 0.0029258 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:53.703+0800: 5.268: [GC (Allocation Failure) [PSYoungGen: 85940K->2048K(93696K)] 122208K->38323K(198656K), 0.0037481 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:53.780+0800: 5.345: [GC (Allocation Failure) [PSYoungGen: 86016K->2851K(94208K)] 122291K->39126K(199168K), 0.0031044 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:53.891+0800: 5.456: [GC (Allocation Failure) [PSYoungGen: 88355K->3982K(94208K)] 124630K->40265K(199168K), 0.0035273 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:53.995+0800: 5.560: [GC (Allocation Failure) [PSYoungGen: 89486K->5476K(95744K)] 125769K->41768K(200704K), 0.0064623 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:54.145+0800: 5.711: [GC (Allocation Failure) [PSYoungGen: 92516K->5976K(93184K)] 128808K->42276K(198144K), 0.0046042 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:54.254+0800: 5.819: [GC (Allocation Failure) [PSYoungGen: 93016K->5312K(95232K)] 129316K->42931K(200192K), 0.0052076 secs] [Times: user=0.06 sys=0.01, real=0.00 secs] 
2021-08-18T16:29:54.345+0800: 5.910: [GC (Allocation Failure) [PSYoungGen: 91328K->5632K(95232K)] 128947K->43867K(200192K), 0.0048348 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:54.549+0800: 6.114: [GC (Allocation Failure) [PSYoungGen: 91648K->6002K(95232K)] 129883K->45310K(200192K), 0.0038746 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:56.097+0800: 7.662: [GC (Allocation Failure) [PSYoungGen: 92018K->6440K(92672K)] 131326K->46755K(197632K), 0.0031015 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:56.375+0800: 7.941: [GC (Allocation Failure) [PSYoungGen: 92456K->7064K(93696K)] 132771K->47388K(198656K), 0.0040029 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2021-08-18T19:50:37.339+0800: 12048.904: [GC (Allocation Failure) [PSYoungGen: 91032K->10039K(94208K)] 131356K->50371K(199168K), 0.0054984 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-08-18T23:46:39.378+0800: 26210.943: [GC (Allocation Failure) [PSYoungGen: 94007K->10239K(89088K)] 134339K->51139K(194048K), 0.0062626 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-08-19T03:22:13.978+0800: 39145.543: [GC (Allocation Failure) [PSYoungGen: 89087K->9423K(88576K)] 129987K->51562K(193536K), 0.0072307 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-08-19T07:19:15.224+0800: 53366.789: [GC (Allocation Failure) [PSYoungGen: 88271K->9567K(89600K)] 130410K->51714K(194560K), 0.0060913 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-08-19T10:55:22.845+0800: 66334.411: [GC (Allocation Failure) [PSYoungGen: 85343K->9807K(83968K)] 127490K->51962K(188928K), 0.0056611 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-08-19T13:44:54.345+0800: 76505.910: [GC (Allocation Failure) [PSYoungGen: 83535K->9468K(84992K)] 125690K->51632K(189952K), 0.0056771 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-08-19T17:24:44.631+0800: 89696.196: [GC (Allocation Failure) [PSYoungGen: 81148K->10700K(80384K)] 123312K->52872K(185344K), 0.0099863 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2021-08-19T21:05:54.344+0800: 102965.909: [GC (Allocation Failure) [PSYoungGen: 80332K->10428K(81920K)] 122504K->52608K(186880K), 0.0060342 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-08-20T00:36:22.762+0800: 115594.328: [GC (Allocation Failure) [PSYoungGen: 78012K->10524K(76800K)] 120192K->52712K(181760K), 0.0062465 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2021-08-20T04:03:13.411+0800: 128004.976: [GC (Allocation Failure) [PSYoungGen: 76572K->10076K(78848K)] 118760K->52272K(183808K), 0.0056735 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-08-20T07:27:52.934+0800: 140284.499: [GC (Allocation Failure) [PSYoungGen: 74588K->10332K(73728K)] 116784K->52536K(178688K), 0.0057669 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
