2022-04-17 10:52:27.795 接收deviceList：{} 
2022-04-17 10:53:07.901 接收inDepotList：ZxPlatTaskPo [Hash = 300171148, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:08.905 接收inDepotList：ZxPlatTaskPo [Hash = 774247834, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:09.902 接收inDepotList：ZxPlatTaskPo [Hash = 454319754, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:10.908 接收inDepotList：ZxPlatTaskPo [Hash = 848995144, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:11.937 接收inDepotList：ZxPlatTaskPo [Hash = 1416818746, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:12.903 接收inDepotList：ZxPlatTaskPo [Hash = 1776443820, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:13.903 接收inDepotList：ZxPlatTaskPo [Hash = 1157825257, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:14.915 接收inDepotList：ZxPlatTaskPo [Hash = 625125396, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:15.908 接收inDepotList：ZxPlatTaskPo [Hash = 776259898, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:16.900 接收inDepotList：ZxPlatTaskPo [Hash = 444037690, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:17.906 接收inDepotList：ZxPlatTaskPo [Hash = 2119851846, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:18.908 接收inDepotList：ZxPlatTaskPo [Hash = 198496907, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:19.900 接收inDepotList：ZxPlatTaskPo [Hash = 1175576424, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:20.900 接收inDepotList：ZxPlatTaskPo [Hash = 2087172585, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:21.906 接收inDepotList：ZxPlatTaskPo [Hash = 2111313601, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
