Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for linux-amd64 JRE (1.8.0_291-b10), built on Apr  7 2021 19:13:06 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 32357212k(29764328k free), swap 978940k(978940k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2022-04-14T19:01:45.706+0800: 4498.285: [GC (Allocation Failure) [PSYoungGen: 108131K->10960K(104448K)] 157493K->63374K(303616K), 0.0147498 secs] [Times: user=0.12 sys=0.01, real=0.02 secs] 
2022-04-14T19:07:53.062+0800: 4865.641: [GC (Allocation Failure) [PSYoungGen: 104144K->7488K(118784K)] 156558K->63584K(317952K), 0.0159993 secs] [Times: user=0.11 sys=0.05, real=0.01 secs] 
2022-04-14T19:10:52.062+0800: 5044.641: [GC (Allocation Failure) [PSYoungGen: 99136K->2272K(92672K)] 155232K->63556K(291840K), 0.0117826 secs] [Times: user=0.06 sys=0.06, real=0.01 secs] 
2022-04-14T19:13:46.065+0800: 5218.644: [GC (Allocation Failure) [PSYoungGen: 92384K->1920K(117760K)] 153668K->63728K(316928K), 0.0066641 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2022-04-14T19:21:41.099+0800: 5693.679: [GC (Allocation Failure) [PSYoungGen: 90496K->1664K(89088K)] 152304K->63696K(288256K), 0.0059405 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2022-04-14T19:29:48.214+0800: 6180.793: [GC (Allocation Failure) [PSYoungGen: 88704K->1632K(114688K)] 150736K->63768K(313856K), 0.0062165 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2022-04-14T19:37:50.364+0800: 6662.943: [GC (Allocation Failure) [PSYoungGen: 87136K->1344K(86016K)] 149272K->63560K(285184K), 0.0061967 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2022-04-14T19:45:49.323+0800: 7141.902: [GC (Allocation Failure) [PSYoungGen: 85824K->1152K(111616K)] 148040K->63564K(310784K), 0.0058984 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-14T19:53:40.461+0800: 7613.041: [GC (Allocation Failure) [PSYoungGen: 84608K->1152K(83968K)] 147020K->63676K(283136K), 0.0060158 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-14T20:01:09.819+0800: 8062.398: [GC (Allocation Failure) [PSYoungGen: 83584K->1344K(107520K)] 146108K->64232K(306688K), 0.0054253 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2022-04-14T20:07:26.972+0800: 8439.551: [GC (Allocation Failure) [PSYoungGen: 82752K->1424K(81920K)] 145640K->64476K(281088K), 0.0059062 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2022-04-14T20:14:59.617+0800: 8892.196: [GC (Allocation Failure) [PSYoungGen: 81808K->1376K(103424K)] 144860K->64516K(302592K), 0.0059719 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2022-04-14T20:22:27.960+0800: 9340.539: [GC (Allocation Failure) [PSYoungGen: 80736K->912K(79360K)] 143876K->64084K(278528K), 0.0055856 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2022-04-14T20:26:42.203+0800: 9594.782: [GC (Allocation Failure) [PSYoungGen: 79248K->1488K(99328K)] 142420K->64724K(298496K), 0.0056998 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-14T20:29:28.488+0800: 9761.067: [GC (Allocation Failure) [PSYoungGen: 78800K->1472K(77824K)] 142036K->64828K(276992K), 0.0059392 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2022-04-14T20:35:02.142+0800: 10094.721: [GC (Allocation Failure) [PSYoungGen: 77760K->1056K(95232K)] 141116K->65008K(294400K), 0.0059793 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2022-04-14T20:39:56.938+0800: 10389.517: [GC (Allocation Failure) [PSYoungGen: 76320K->1104K(75776K)] 140272K->65168K(274944K), 0.0056833 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-14T20:42:23.135+0800: 10535.715: [GC (Allocation Failure) [PSYoungGen: 75344K->1008K(90112K)] 139408K->65184K(289280K), 0.0058246 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2022-04-14T20:45:24.164+0800: 10716.743: [GC (Allocation Failure) [PSYoungGen: 74224K->1072K(73728K)] 138400K->65288K(272896K), 0.0054149 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2022-04-14T20:52:12.466+0800: 11125.045: [GC (Allocation Failure) [PSYoungGen: 73264K->928K(86528K)] 137480K->65240K(285696K), 0.0058733 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2022-04-14T20:58:57.840+0800: 11530.419: [GC (Allocation Failure) [PSYoungGen: 72096K->688K(71168K)] 136408K->65016K(270336K), 0.0060300 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-14T21:01:31.274+0800: 11683.853: [GC (Allocation Failure) [PSYoungGen: 70832K->2246K(81920K)] 135160K->66614K(281088K), 0.0062374 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2022-04-14T21:03:47.273+0800: 11819.852: [GC (Allocation Failure) [PSYoungGen: 71366K->1872K(70144K)] 135734K->66288K(269312K), 0.0060563 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
2022-04-14T21:06:01.276+0800: 11953.855: [GC (Allocation Failure) [PSYoungGen: 69968K->1936K(78336K)] 134384K->66392K(277504K), 0.0061654 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2022-04-14T21:08:14.100+0800: 12086.679: [GC (Allocation Failure) [PSYoungGen: 69008K->1728K(68608K)] 133464K->66392K(267776K), 0.0061176 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2022-04-14T21:10:25.148+0800: 12217.728: [GC (Allocation Failure) [PSYoungGen: 68288K->1584K(76288K)] 132952K->66352K(275456K), 0.0066264 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2022-04-14T21:12:35.154+0800: 12347.734: [GC (Allocation Failure) [PSYoungGen: 67632K->1584K(67584K)] 132400K->66400K(266752K), 0.0066488 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2022-04-14T21:14:44.148+0800: 12476.727: [GC (Allocation Failure) [PSYoungGen: 67120K->1536K(76800K)] 131936K->66352K(275968K), 0.0058283 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2022-04-14T21:16:55.146+0800: 12607.725: [GC (Allocation Failure) [PSYoungGen: 68096K->1456K(76800K)] 132912K->66519K(275968K), 0.0054463 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2022-04-14T21:20:12.654+0800: 12805.233: [GC (Allocation Failure) [PSYoungGen: 68016K->1392K(77824K)] 133079K->66591K(276992K), 0.0055435 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-14T21:26:40.954+0800: 13193.533: [GC (Allocation Failure) [PSYoungGen: 69488K->1312K(77312K)] 134687K->66567K(276480K), 0.0054309 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-14T21:33:07.840+0800: 13580.419: [GC (Allocation Failure) [PSYoungGen: 69408K->1104K(78848K)] 134663K->66479K(278016K), 0.0061632 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
2022-04-14T21:39:46.867+0800: 13979.446: [GC (Allocation Failure) [PSYoungGen: 71248K->1072K(78336K)] 136623K->66495K(277504K), 0.0055040 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-14T21:46:24.133+0800: 14376.712: [GC (Allocation Failure) [PSYoungGen: 71216K->1120K(79360K)] 136639K->66559K(278528K), 0.0057695 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-14T21:53:12.303+0800: 14784.882: [GC (Allocation Failure) [PSYoungGen: 72800K->1104K(79360K)] 138239K->66551K(278528K), 0.0053176 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-14T22:00:00.137+0800: 15192.717: [GC (Allocation Failure) [PSYoungGen: 72784K->1072K(80384K)] 138231K->66527K(279552K), 0.0054944 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2022-04-14T22:06:56.335+0800: 15608.914: [GC (Allocation Failure) [PSYoungGen: 74288K->448K(79872K)] 139743K->66720K(279040K), 0.0063215 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2022-04-14T22:13:49.508+0800: 16022.087: [GC (Allocation Failure) [PSYoungGen: 73664K->512K(80896K)] 139936K->66808K(280064K), 0.0050371 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
